log_path,all_samples,all_mae_x,all_rmse_x,all_mae_y,all_rmse_y,all_mae_z,all_rmse_z,all_mae_yaw,all_rmse_yaw,w7_25_samples,w7_25_mae_x,w7_25_rmse_x,w7_25_mae_y,w7_25_rmse_y,w7_25_mae_z,w7_25_rmse_z,w7_25_mae_yaw,w7_25_rmse_yaw,w10_18_samples,w10_18_mae_x,w10_18_rmse_x,w10_18_mae_y,w10_18_rmse_y,w10_18_mae_z,w10_18_rmse_z,w10_18_mae_yaw,w10_18_rmse_yaw,tmp_samples,tmp_mean_abs_err_z,tmp_mean_bias,tmp_sonar_inf_ratio,score,aligned_csv_path,aligned_samples,aligned_all_samples,aligned_all_mae_x,aligned_all_rmse_x,aligned_all_mae_y,aligned_all_rmse_y,aligned_all_mae_z,aligned_all_rmse_z,aligned_all_mae_yaw,aligned_all_rmse_yaw,aligned_w7_25_samples,aligned_w7_25_mae_x,aligned_w7_25_rmse_x,aligned_w7_25_mae_y,aligned_w7_25_rmse_y,aligned_w7_25_mae_z,aligned_w7_25_rmse_z,aligned_w7_25_mae_yaw,aligned_w7_25_rmse_yaw,aligned_w10_18_samples,aligned_w10_18_mae_x,aligned_w10_18_rmse_x,aligned_w10_18_mae_y,aligned_w10_18_rmse_y,aligned_w10_18_mae_z,aligned_w10_18_rmse_z,aligned_w10_18_mae_yaw,aligned_w10_18_rmse_yaw,aligned_score,case_name
/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/best_so_far/run.log,1333.0,0.3622955738934734,0.4690546493384502,0.4436106526631658,0.5709602912318341,0.016609902475618905,0.020924380693986062,0.006392348087021756,0.007990288554100812,541.0,0.413641404805915,0.5047684668990335,0.3044195933456562,0.3822953610343603,0.01809611829944547,0.021920795079823363,0.004833641404805915,0.006619441482881052,241.0,0.4430829875518672,0.5151101441254219,0.16188381742738592,0.23958967343827084,0.019514522821576764,0.02238747797596865,0.003854771784232365,0.004565339379657583,44.0,0.018954545454545453,1.671840909090909,0.75,0.6425774461002753,/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/best_so_far/aligned_pose_error.csv,1201.0,1201.0,0.3376671421040799,0.4372828308164124,0.42376658098417985,0.549599859513181,0.016768656034138216,0.021046257837999988,0.007008263980849293,0.00859456797783996,540.0,0.4154627735277778,0.506606691867316,0.30546413808703704,0.38383414642184166,0.018345046642592594,0.022119446097528677,0.0055365097277777775,0.007155141072121011,240.0,0.44639066675,0.5182286202167922,0.1601606997,0.23740112074783132,0.019530883729166667,0.022392715168390875,0.004711790354166666,0.005168367018760229,0.6444272968217593,best_so_far
/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p35__imu_3p5/run.log,1332.0,0.32595870870870874,0.4369882704358305,0.3886328828828829,0.49489624674778554,0.021593843843843843,0.028757046401146933,0.004093843843843844,0.005224034890823428,541.0,0.3520388170055453,0.460036728020211,0.3516395563770795,0.4680373600741063,0.02403327171903882,0.029694127701669085,0.0043253234750462105,0.0054484646551085135,241.0,0.43502904564315353,0.5198544082809423,0.1898215767634855,0.22922868141169145,0.019066390041493776,0.024045858676746704,0.002360995850622407,0.0029129842393022377,44.0,0.023272727272727275,-0.012113636363636365,0.7727272727272727,0.6679502841671716,/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p35__imu_3p5/aligned_pose_error.csv,1201.0,1201.0,0.31918073693505417,0.4287527740759604,0.3825992954696087,0.4923150646060986,0.02037850420399667,0.0275483944956598,0.003742163337218984,0.005048768064378086,540.0,0.3536148415222222,0.46181356577609356,0.3536649821,0.4702089702999613,0.02390490734074074,0.02962891282602068,0.0039297059796296295,0.005145735702788551,240.0,0.4388106429625,0.5230399818006444,0.19148123422916666,0.23066740245907036,0.019125712366666665,0.02411261040866971,0.002186717354166667,0.0025614885355347327,0.6733224968990741,refine_gps_0p35__imu_3p5
/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p40__imu_3p5/run.log,1328.0,0.4106746987951807,0.5241658620166086,0.2638757530120482,0.365088480569544,0.01675225903614458,0.021435195834932967,0.011938253012048192,0.012889182444840538,541.0,0.45043992606284655,0.5604576984866708,0.15659149722735674,0.19753770785821628,0.017025878003696857,0.020449794253921637,0.012573012939001848,0.013044641111871308,241.0,0.5422116182572614,0.6222151400423532,0.11025311203319503,0.13500215151197803,0.016941908713692947,0.020375214786435038,0.011817427385892115,0.012065863509946725,44.0,0.01893181818181818,0.3891363636363636,0.7727272727272727,0.6864325170078462,/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p40__imu_3p5/aligned_pose_error.csv,1201.0,1201.0,0.3954689244954205,0.5077846819960571,0.26448330373022483,0.3655744938159637,0.016921874122398,0.021534659387093976,0.010659003868442964,0.011494016087071537,541.0,0.45232376351571163,0.562254342295134,0.15764743213123844,0.19920306973535765,0.01728941218484288,0.02063285229792305,0.01164894947689464,0.012092887083744366,241.0,0.5464207690788382,0.6258935242899251,0.10980305789626556,0.13467100231390755,0.017109957049792533,0.020513879034445768,0.010917361821576764,0.01110072492481454,0.6906231962097391,refine_gps_0p40__imu_3p5
/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p45__imu_3p5/run.log,1332.0,0.45698798798798795,0.558641261059867,0.34947522522522523,0.48878900503329803,0.02096921921921922,0.026209668000505018,0.01740165165165165,0.01828098587178614,541.0,0.4800369685767098,0.5776758808278248,0.25271534195933454,0.31078590083089036,0.018364140480591498,0.023246687995769275,0.01934195933456562,0.01990169927446123,241.0,0.4200829875518672,0.4878129615715212,0.2344564315352697,0.2960632151853589,0.02084232365145228,0.024846165704338945,0.016597510373443983,0.016973741008317153,44.0,0.022022727272727274,-0.13422727272727275,0.7272727272727273,0.6937458832191806,/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p45__imu_3p5/aligned_pose_error.csv,1201.0,1201.0,0.4288266383180682,0.5305591844419059,0.36163377905828475,0.5046866076888112,0.02016500165362198,0.02563319472120589,0.01642952698168193,0.01726576513537953,541.0,0.4816453843733826,0.57912238554951,0.25482285048983366,0.31368388669568265,0.018379322390018486,0.02326093748500664,0.018419265881700553,0.018969281114875627,241.0,0.42415304969709544,0.49191143204483034,0.23430720765975102,0.29613747690681724,0.020862031145228218,0.024826400425939855,0.015642754161825725,0.01599535053650615,0.6977016108920931,refine_gps_0p45__imu_3p5
/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p45__imu_3p0/run.log,1331.0,0.38172727272727275,0.47941475325114996,0.39821863260706236,0.5116309060955233,0.02422764838467318,0.03056680924135844,0.0044703230653643875,0.0057626481933091955,541.0,0.4131792975970425,0.5441762008054977,0.3543308687615527,0.414326683595652,0.026654343807763402,0.031494916410497925,0.0027800369685767098,0.0033923911817123485,241.0,0.3966058091286307,0.4859906595417506,0.25658921161825726,0.2778053738251675,0.02779253112033195,0.03193471036569893,0.00191701244813278,0.0024410051667430755,44.0,0.02825,0.0565,0.7954545454545454,0.7076418956749833,/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p45__imu_3p0/aligned_pose_error.csv,1201.0,1201.0,0.396473695214821,0.49638233786952024,0.39107590802414655,0.5142821511602508,0.024144893363030807,0.03039864283363802,0.004082207784346379,0.005563451571553892,540.0,0.41482776690185186,0.5461085745320468,0.35611284192407405,0.41630069328416586,0.026579951992592592,0.03142227374559112,0.0022183571074074074,0.0026351862900726715,240.0,0.39990003599583335,0.4892304707207565,0.25727588727083334,0.27863980178442377,0.028013850445833332,0.03205213617145784,0.0016166383708333333,0.001963795473932366,0.7117697257050926,refine_gps_0p45__imu_3p0
/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p35__imu_2p5/run.log,1332.0,0.3853648648648649,0.4870904670829877,0.4658220720720721,0.618893868826369,0.02364114114114114,0.029007014787925126,0.01017117117117117,0.011326508278802863,541.0,0.46746395563770793,0.5809170104351731,0.3309704251386322,0.42123728719771847,0.03202218114602588,0.036702178512706275,0.012852125693160814,0.013071465727536976,241.0,0.4976846473029045,0.6076073748661229,0.19145228215767635,0.2125602282234535,0.03562655601659751,0.04164720430660402,0.012908713692946057,0.013142847478154225,44.0,0.026795454545454546,0.8637045454545454,0.75,0.7567856666232042,/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p35__imu_2p5/aligned_pose_error.csv,1201.0,1201.0,0.38258117047793505,0.48650059893492886,0.4526810941590341,0.5960019194569467,0.02381038263780183,0.02939528929529051,0.008985260245628643,0.01014933175286529,540.0,0.4688617981648148,0.5827383298801565,0.33279897240555556,0.4231844163601743,0.03232206116851852,0.036904439244799504,0.011967837570370371,0.012135747327478328,240.0,0.5017637861541666,0.611188032164682,0.19184580312083332,0.21307883198008476,0.03589776789166667,0.04186335446720348,0.012020553158333334,0.012195583426519784,0.7618294183351851,refine_gps_0p35__imu_2p5
/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p45__imu_2p5/run.log,1330.0,0.4005714285714286,0.5276922918588238,0.4821278195488722,0.6239180397301811,0.02076466165413534,0.02618168159472992,0.0054654135338345865,0.00680706179093182,541.0,0.4219907578558225,0.5349491847963065,0.28726987060998155,0.33568382216872483,0.023134935304990757,0.028990852021356917,0.008920517560073936,0.009548010796305092,241.0,0.503240663900415,0.6080267963356883,0.20771369294605807,0.24028127535517005,0.025904564315352697,0.031247572519825323,0.008182572614107883,0.008792207036024308,44.0,0.022272727272727274,0.48613636363636364,0.7727272727272727,0.7599938564668165,/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p45__imu_2p5/aligned_pose_error.csv,1201.0,1201.0,0.35830193780099917,0.4822836234636919,0.4700182589583681,0.6121833496570691,0.021185862446294754,0.02661766693149803,0.005253274246461282,0.006469308986783551,540.0,0.42372568261296295,0.5369890836205935,0.2877134806037037,0.33663852633729646,0.02339242025,0.02921301833453028,0.00813417217962963,0.008685198236094347,240.0,0.5070461273875,0.6116410534522442,0.2063659655875,0.2390953118363372,0.026019603270833334,0.031366818827105875,0.007257925125,0.007833763471523408,0.7628241164958334,refine_gps_0p45__imu_2p5
/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p40__imu_3p0/run.log,1329.0,0.38319939804364184,0.4955066829385042,0.4033288186606471,0.5191528246865127,0.02098796087283672,0.02650077727894527,0.005524454477050414,0.007155901235911441,541.0,0.38521811460258776,0.48330519666546595,0.39144731977818853,0.49691811566733346,0.023414048059149723,0.027922688354701616,0.0056913123844731985,0.007550813693283918,241.0,0.4854066390041494,0.572688835297746,0.2575103734439834,0.27621849250486424,0.019402489626556017,0.023710214546876652,0.00670539419087137,0.007640251565452704,44.0,0.022522727272727274,-0.32072727272727275,0.7045454545454546,0.7857335501338385,/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p40__imu_3p0/aligned_pose_error.csv,1201.0,1201.0,0.3744290068850957,0.4912910421148195,0.3831241242647793,0.5021561780168032,0.01955313318734388,0.024749184278895456,0.005904782601165695,0.007613920221293387,540.0,0.38657056115,0.48508185326093783,0.3936369635074074,0.49916069989031314,0.02320616097777778,0.027679665226524968,0.006464145046296296,0.008164452492372054,240.0,0.48945121703333333,0.5761259033014424,0.25901134934583336,0.27767119761650755,0.019247364075,0.02350450098050988,0.007662385895833334,0.008400556773366461,0.7909160914319445,refine_gps_0p40__imu_3p0
/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p35__imu_3p0/run.log,1327.0,0.415492840994725,0.5520117779670267,0.34019819140919366,0.46875605798647585,0.021501130369253958,0.027134041664132837,0.01465561416729465,0.015512544453384706,541.0,0.498829944547135,0.5764079780124933,0.23805914972273565,0.31058031069277153,0.02579852125693161,0.03030635323180143,0.016881700554528648,0.017384581096163757,241.0,0.6209585062240665,0.6920972906687595,0.16548132780082989,0.19793440591681669,0.02779668049792531,0.031617986897266005,0.016261410788381742,0.016478453176410002,44.0,0.02506818181818182,-0.4334090909090909,0.7954545454545454,0.8400350357797532,/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/refine_gps_0p35__imu_3p0/aligned_pose_error.csv,1201.0,1201.0,0.38802419377768527,0.5302193333559057,0.3069030124920899,0.42464057588152937,0.022395359877601998,0.02800430580104167,0.013937278992506245,0.014813507027844671,540.0,0.5008969343648147,0.5785280755807549,0.23923948373888887,0.3122257156538545,0.02608775216666667,0.03056910900191162,0.016004972431481482,0.016478919172343346,240.0,0.6239913932916666,0.6953931143069567,0.1662583792833333,0.19840042462969562,0.027849056104166665,0.03170907596553517,0.015342891841666668,0.015520558125962564,0.8441865808458333,refine_gps_0p35__imu_3p0
/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/current_xy/run.log,1329.0,0.3704740406320542,0.5086507432714016,0.38338374717832957,0.5402307138887453,0.02159292701279157,0.026959951347771217,0.010756960120391271,0.011574926847607471,541.0,0.42678188539741224,0.533704008394831,0.2594695009242144,0.3304958549911914,0.023935304990757855,0.02811972686241823,0.013081330868761553,0.01370058757189476,241.0,0.642253112033195,0.717742637563029,0.1782780082987552,0.21125955992510975,0.02514522821576763,0.028452479126865732,0.011244813278008298,0.011677904092062175,44.0,0.024159090909090908,1.4241136363636364,0.8181818181818182,0.8696116535384757,/ws/ee4308/tmp/proj2_param_sweeps/xy_run3/current_xy/aligned_pose_error.csv,1201.0,1201.0,0.37837571881348875,0.5239576791732645,0.4016656145278934,0.5557194041775307,0.02199555217152373,0.027422760367967657,0.010147919692756037,0.01092722285747828,540.0,0.42882222491296296,0.5358738889200417,0.2609572211574074,0.3321189762791332,0.02416797582037037,0.028278831144632328,0.012136156522222222,0.012734134174772068,240.0,0.6466983709916666,0.7215461282324908,0.17776451258333334,0.21069224148145743,0.025285982904166667,0.02855677671490231,0.010258304633333333,0.0106489549355774,0.873916842299537,current_xy
