recv_time_sec,plan_stamp_sec,num_points,goal_x,goal_y,goal_z
1775400194.919104099,1775400194.916789293,50,-2.000000000,-2.000000000,5.000000000
1775400195.337684393,1775400195.336709738,50,-2.000000000,-2.000000000,5.000000000
1775400195.420930862,1775400195.419991255,50,-2.000000000,-2.000000000,5.000000000
1775400195.523137331,1775400195.521247625,49,-2.000000000,-2.000000000,5.000000000
1775400195.623968601,1775400195.622271299,49,-2.000000000,-2.000000000,5.000000000
1775400195.725169420,1775400195.723256350,49,-2.000000000,-2.000000000,5.000000000
1775400195.827123165,1775400195.825421333,48,-2.000000000,-2.000000000,5.000000000
1775400195.927936554,1775400195.927042961,48,-2.000000000,-2.000000000,5.000000000
1775400196.029197454,1775400196.027524710,47,-2.000000000,-2.000000000,5.000000000
1775400196.129736662,1775400196.128527880,47,-2.000000000,-2.000000000,5.000000000
1775400196.229804516,1775400196.228881359,46,-2.000000000,-2.000000000,5.000000000
1775400196.332550764,1775400196.331134558,46,-2.000000000,-2.000000000,5.000000000
1775400196.433867216,1775400196.431645870,45,-2.000000000,-2.000000000,5.000000000
1775400196.533582926,1775400196.532345772,45,-2.000000000,-2.000000000,5.000000000
1775400196.634893179,1775400196.633736134,44,-2.000000000,-2.000000000,5.000000000
1775400196.735755205,1775400196.734595776,44,-2.000000000,-2.000000000,5.000000000
1775400196.836483002,1775400196.835534811,43,-2.000000000,-2.000000000,5.000000000
1775400196.937994003,1775400196.936394453,43,-2.000000000,-2.000000000,5.000000000
1775400197.038498402,1775400197.036347866,42,-2.000000000,-2.000000000,5.000000000
1775400197.139958620,1775400197.138858318,42,-2.000000000,-2.000000000,5.000000000
1775400197.240325928,1775400197.238774061,41,-2.000000000,-2.000000000,5.000000000
1775400197.339581728,1775400197.338700771,41,-2.000000000,-2.000000000,5.000000000
1775400197.442418337,1775400197.440594435,40,-2.000000000,-2.000000000,5.000000000
1775400197.544194937,1775400197.541885138,40,-2.000000000,-2.000000000,5.000000000
1775400197.642354488,1775400197.641119719,39,-2.000000000,-2.000000000,5.000000000
1775400197.743231297,1775400197.742329597,39,-2.000000000,-2.000000000,5.000000000
1775400197.843083858,1775400197.841715574,38,-2.000000000,-2.000000000,5.000000000
1775400197.943074226,1775400197.941695929,38,-2.000000000,-2.000000000,5.000000000
1775400198.045493126,1775400198.044088602,37,-2.000000000,-2.000000000,5.000000000
1775400198.147766590,1775400198.147011518,37,-2.000000000,-2.000000000,5.000000000
1775400198.247845411,1775400198.247071505,36,-2.000000000,-2.000000000,5.000000000
1775400198.348382235,1775400198.346875906,36,-2.000000000,-2.000000000,5.000000000
1775400198.448500872,1775400198.447664738,35,-2.000000000,-2.000000000,5.000000000
1775400198.548445463,1775400198.547446251,35,-2.000000000,-2.000000000,5.000000000
1775400198.650322199,1775400198.648474216,34,-2.000000000,-2.000000000,5.000000000
