recv_time_sec,plan_stamp_sec,num_points,goal_x,goal_y,goal_z
1775567270.621188641,1775567270.620344639,37,-2.000000000,-2.000000000,5.000000000
1775567270.723794937,1775567270.722353220,36,-2.000000000,-2.000000000,5.000000000
1775567270.826735973,1775567270.825366020,36,-2.000000000,-2.000000000,5.000000000
1775567270.935656786,1775567270.934352636,35,-2.000000000,-2.000000000,5.000000000
1775567271.039656878,1775567271.036900520,35,-2.000000000,-2.000000000,5.000000000
1775567271.141266584,1775567271.139102221,34,-2.000000000,-2.000000000,5.000000000
1775567271.249268055,1775567271.246419668,34,-2.000000000,-2.000000000,5.000000000
1775567271.349228859,1775567271.348390579,33,-2.000000000,-2.000000000,5.000000000
1775567271.457776546,1775567271.456399441,33,-2.000000000,-2.000000000,5.000000000
1775567271.589873791,1775567271.589068890,32,-2.000000000,-2.000000000,5.000000000
1775567271.697327375,1775567271.691929817,32,-2.000000000,-2.000000000,5.000000000
1775567271.794069767,1775567271.792638302,31,-2.000000000,-2.000000000,5.000000000
1775567271.894034863,1775567271.893060207,31,-2.000000000,-2.000000000,5.000000000
1775567271.998262882,1775567271.997311115,30,-2.000000000,-2.000000000,5.000000000
1775567272.104688406,1775567272.103642464,30,-2.000000000,-2.000000000,5.000000000
1775567272.207298756,1775567272.206117630,29,-2.000000000,-2.000000000,5.000000000
1775567272.314592123,1775567272.313653708,29,-2.000000000,-2.000000000,5.000000000
1775567272.415239573,1775567272.413944960,28,-2.000000000,-2.000000000,5.000000000
1775567272.515216351,1775567272.514358521,28,-2.000000000,-2.000000000,5.000000000
1775567272.618896961,1775567272.614357471,27,-2.000000000,-2.000000000,5.000000000
1775567272.718300819,1775567272.717106104,27,-2.000000000,-2.000000000,5.000000000
1775567272.816272020,1775567272.815459967,26,-2.000000000,-2.000000000,5.000000000
1775567272.915747404,1775567272.914759398,26,-2.000000000,-2.000000000,5.000000000
1775567273.023563862,1775567273.022537231,25,-2.000000000,-2.000000000,5.000000000
1775567273.122797251,1775567273.120645761,25,-2.000000000,-2.000000000,5.000000000
1775567273.223521948,1775567273.222457647,24,-2.000000000,-2.000000000,5.000000000
1775567273.330312967,1775567273.329366446,24,-2.000000000,-2.000000000,5.000000000
