recv_time_sec,plan_stamp_sec,num_points,goal_x,goal_y,goal_z
1775398498.329677343,1775398498.329036474,14,-2.000000000,-2.000000000,5.000000000
1775398498.429990768,1775398498.429307222,13,-2.000000000,-2.000000000,5.000000000
1775398498.530032635,1775398498.529533148,13,-2.000000000,-2.000000000,5.000000000
1775398498.630433083,1775398498.629997730,12,-2.000000000,-2.000000000,5.000000000
1775398498.734899759,1775398498.734091997,12,-2.000000000,-2.000000000,5.000000000
1775398498.832692385,1775398498.831814051,11,-2.000000000,-2.000000000,5.000000000
1775398498.931839228,1775398498.931244612,11,-2.000000000,-2.000000000,5.000000000
1775398499.033063173,1775398499.032392979,10,-2.000000000,-2.000000000,5.000000000
1775398499.133594751,1775398499.132912159,10,-2.000000000,-2.000000000,5.000000000
1775398499.233380795,1775398499.232662201,9,-2.000000000,-2.000000000,5.000000000
1775398499.333426714,1775398499.332413197,9,-2.000000000,-2.000000000,5.000000000
1775398499.432390690,1775398499.431783438,8,-2.000000000,-2.000000000,5.000000000
1775398499.534852028,1775398499.534178019,8,-2.000000000,-2.000000000,5.000000000
1775398499.634681225,1775398499.633859873,7,-2.000000000,-2.000000000,5.000000000
1775398499.736144066,1775398499.735529184,7,-2.000000000,-2.000000000,5.000000000
1775398499.837823153,1775398499.836953163,7,-2.000000000,-2.000000000,5.000000000
1775398499.937537670,1775398499.937031746,6,-2.000000000,-2.000000000,5.000000000
1775398500.040209532,1775398500.039798260,5,-2.000000000,-2.000000000,5.000000000
1775398500.140276670,1775398500.139551163,5,-2.000000000,-2.000000000,5.000000000
1775398500.239289761,1775398500.238833904,4,-2.000000000,-2.000000000,5.000000000
1775398500.339999676,1775398500.339375257,4,-2.000000000,-2.000000000,5.000000000
1775398500.441135168,1775398500.440650463,4,-2.000000000,-2.000000000,5.000000000
1775398500.546433449,1775398500.545387745,35,1.293000191,-0.608000095,5.000000000
1775398500.641512632,1775398500.640378237,35,1.293000191,-0.608000095,5.000000000
1775398500.744127512,1775398500.742390633,35,1.293000191,-0.608000095,5.000000000
1775398500.843170166,1775398500.842373371,35,1.293000191,-0.608000095,5.000000000
1775398500.946046352,1775398500.944628000,35,1.293000191,-0.608000095,5.000000000
1775398501.045661211,1775398501.044266701,37,1.293000191,-0.608000095,5.000000000
1775398501.145407200,1775398501.144591093,37,1.293000191,-0.608000095,5.000000000
1775398501.246622801,1775398501.245819807,37,1.293000191,-0.608000095,5.000000000
1775398501.346116781,1775398501.345308304,37,1.293000191,-0.608000095,5.000000000
1775398501.448380470,1775398501.446728468,37,1.293000191,-0.608000095,5.000000000
1775398501.547579765,1775398501.546080589,40,1.493000000,-0.657999809,5.000000000
1775398501.647320032,1775398501.645887613,40,1.493000000,-0.657999809,5.000000000
1775398501.747364998,1775398501.745942831,40,1.493000000,-0.657999809,5.000000000
1775398501.847336769,1775398501.845826387,40,1.493000000,-0.657999809,5.000000000
1775398501.950025797,1775398501.949053288,40,1.493000000,-0.657999809,5.000000000
1775398502.051986217,1775398502.051224947,38,1.493000000,-0.657999809,5.000000000
1775398502.153182983,1775398502.152060986,38,1.493000000,-0.657999809,5.000000000
1775398502.253446817,1775398502.252401114,38,1.493000000,-0.657999809,5.000000000
1775398502.354410648,1775398502.352999687,38,1.493000000,-0.657999809,5.000000000
1775398502.453675032,1775398502.452854872,38,1.493000000,-0.657999809,5.000000000
1775398502.558814287,1775398502.557734728,39,1.693000286,-0.657999809,5.000000000
1775398502.652838945,1775398502.652056217,39,1.693000286,-0.657999809,5.000000000
1775398502.753683567,1775398502.752340794,39,1.693000286,-0.657999809,5.000000000
1775398502.853891611,1775398502.853054523,39,1.693000286,-0.657999809,5.000000000
1775398502.956425428,1775398502.954977036,39,1.693000286,-0.657999809,5.000000000
1775398503.056063890,1775398503.055172205,36,1.693000286,-0.657999809,5.000000000
1775398503.159559011,1775398503.155021429,36,1.693000286,-0.657999809,5.000000000
1775398503.258664131,1775398503.255986929,36,1.693000286,-0.657999809,5.000000000
1775398503.355684042,1775398503.354020119,35,1.693000286,-0.657999809,5.000000000
1775398503.454834223,1775398503.453975677,35,1.693000286,-0.657999809,5.000000000
1775398503.554596186,1775398503.553393364,33,1.943000286,-0.657999809,5.000000000
1775398503.655439615,1775398503.654135466,33,1.943000286,-0.657999809,5.000000000
1775398503.759871483,1775398503.757946730,32,1.943000286,-0.657999809,5.000000000
1775398503.860458612,1775398503.859580994,32,1.943000286,-0.657999809,5.000000000
