index,time_sec,sonar_range_m,fit_range_m,residual_m
0,0.0,0.025159860029816628,0.06000346224562075,-0.034843602215804126
1,0.05000000000000426,0.05499057471752167,0.05993295722636789,-0.004942382508846224
2,0.10000000000000142,0.0654577687382698,0.05986245220711504,0.005595316531154769
3,0.14999999999999858,0.04067710041999817,0.05979194718786218,-0.019114846767864013
4,0.20000000000000284,0.0551922470331192,0.05972144216860932,-0.004529195135490119
5,0.25,0.07691217213869095,0.059650937149356466,0.017261234989334483
6,0.30000000000000426,0.061343323439359665,0.059580432130103604,0.0017628913092560608
7,0.3500000000000014,0.060586102306842804,0.05950992711085075,0.0010761751959920546
8,0.3999999999999986,0.0376574881374836,0.059439422091597895,-0.021781933954114298
9,0.45000000000000284,0.04584400728344917,0.05936891707234503,-0.01352490978889586
10,0.5,0.04570428654551506,0.05929841205309218,-0.013594125507577118
11,0.5500000000000043,0.07637134939432144,0.05922790703383932,0.017143442360482125
12,0.6000000000000014,0.08761627227067947,0.05915740201458646,0.028458870256093012
13,0.6499999999999986,0.06860138475894928,0.05908689699533361,0.009514487763615673
14,0.7000000000000028,0.09516914933919907,0.059016391976080745,0.03615275736311832
15,0.75,0.06903129070997238,0.05894588695682789,0.010085403753144491
16,0.8000000000000043,0.049847379326820374,0.05887538193757503,-0.009028002610754655
17,0.8500000000000014,0.06019607186317444,0.058804876918322174,0.0013911949448522642
18,0.8999999999999986,0.08843094110488892,0.05873437189906932,0.029696569205819597
19,0.9500000000000028,0.07788019627332687,0.05866386687981646,0.019216329393510416
20,1.0,0.03080582246184349,0.0585933618605636,-0.027787539398720112
21,1.0500000000000043,0.026942096650600433,0.05852285684131074,-0.03158076019071031
22,1.1000000000000014,0.053184300661087036,0.05845235182205789,-0.0052680511609708505
23,1.1499999999999986,0.06472822278738022,0.05838184680280503,0.006346375984575187
24,1.2000000000000028,0.05682705342769623,0.05831134178355217,-0.0014842883558559422
25,1.25,0.039525777101516724,0.058240836764299315,-0.018715059662782592
26,1.3000000000000043,0.052456602454185486,0.058170331745046454,-0.005713729290860968
27,1.3500000000000014,0.07688913494348526,0.0580998267257936,0.01878930821769166
28,1.3999999999999986,0.0639566108584404,0.058029321706540744,0.005927289151899655
29,1.4500000000000028,0.035623494535684586,0.05795881668728788,-0.022335322151603297
30,1.5,0.09146193414926529,0.05788831166803503,0.03357362248123026
31,1.5500000000000043,0.05815281718969345,0.057817806648782166,0.0003350105409112847
32,1.6000000000000014,0.08674950897693634,0.05774730162952931,0.02900220734740703
33,1.6499999999999986,0.08682507276535034,0.05767679661027646,0.029148276155073885
34,1.7000000000000028,0.057147763669490814,0.057606291591023595,-0.0004585279215327809
35,1.75,0.057481542229652405,0.05753578657177074,-5.4244342118335565e-05
36,1.8000000000000043,0.06347376853227615,0.05746528155251788,0.006008486979758275
37,1.8500000000000014,0.03488926962018013,0.057394776533265024,-0.022505506913084894
38,1.8999999999999986,0.019046425819396973,0.057324271514012176,-0.038277845694615203
39,1.9500000000000028,0.03603680431842804,0.05725376649475931,-0.021216962176331268
40,2.0,0.016621043905615807,0.05718326147550645,-0.040562217569890646
41,2.0500000000000043,0.06883353739976883,0.05711275645625359,0.011720780943515238
42,2.1000000000000014,0.08905106782913208,0.057042251437000736,0.032008816392131344
43,2.1499999999999986,0.07032719254493713,0.05697174641774789,0.013355446127189245
44,2.200000000000003,0.07588357478380203,0.05690124139849502,0.018982333385307013
45,2.25,0.07051355391740799,0.05683073637924217,0.013682817538165817
46,2.3000000000000043,0.03816007822751999,0.056760231359989304,-0.018600153132469315
47,2.3500000000000014,0.06604170054197311,0.05668972634073645,0.009351974201236665
48,2.3999999999999986,0.06136051192879677,0.0566192213214836,0.004741290607313167
49,2.450000000000003,0.044052671641111374,0.05654871630223073,-0.012496044661119358
50,2.5,0.08064652234315872,0.056478211282977885,0.024168311060180837
51,2.5500000000000043,0.029862409457564354,0.056407706263725016,-0.026545296806160662
52,2.3500000000000014,0.06604170054197311,0.05668972634073645,0.009351974201236665
53,2.3999999999999986,0.06136051192879677,0.0566192213214836,0.004741290607313167
54,2.450000000000003,0.044052671641111374,0.05654871630223073,-0.012496044661119358
55,2.5,0.08064652234315872,0.056478211282977885,0.024168311060180837
56,2.5500000000000043,0.029862409457564354,0.056407706263725016,-0.026545296806160662
57,2.6000000000000014,0.04298311844468117,0.05633720124447217,-0.013354082799791
58,2.6000000000000014,0.04298311844468117,0.05633720124447217,-0.013354082799791
59,2.6499999999999986,0.07915078848600388,0.05626669622521931,0.022884092260784562
60,2.6499999999999986,0.07915078848600388,0.05626669622521931,0.022884092260784562
61,2.700000000000003,0.07661628723144531,0.056196191205966445,0.020420096025478868
62,2.700000000000003,0.07661628723144531,0.056196191205966445,0.020420096025478868
63,2.75,0.030895106494426727,0.0561256861867136,-0.02523057969228687
64,2.75,0.030895106494426727,0.0561256861867136,-0.02523057969228687
65,2.8000000000000043,0.04852645844221115,0.05605518116746073,-0.007528722725249577
66,2.8000000000000043,0.04852645844221115,0.05605518116746073,-0.007528722725249577
67,2.8500000000000014,0.05602887645363808,0.055984676148207874,4.4200305430203146e-05
68,2.8500000000000014,0.05602887645363808,0.055984676148207874,4.4200305430203146e-05
69,2.8999999999999986,0.06889753043651581,0.055914171128955026,0.012983359307560782
70,2.8999999999999986,0.06889753043651581,0.055914171128955026,0.012983359307560782
71,2.950000000000003,0.06895831972360611,0.055843666109702164,0.013114653613903945
72,2.950000000000003,0.06895831972360611,0.055843666109702164,0.013114653613903945
73,3.0,0.053415697067976,0.05577316109044931,-0.0023574640224733115
74,3.0,0.053415697067976,0.05577316109044931,-0.0023574640224733115
75,3.0500000000000043,0.024251889437437057,0.05570265607119644,-0.03145076663375938
76,3.0500000000000043,0.024251889437437057,0.05570265607119644,-0.03145076663375938
77,3.1000000000000014,0.03758975490927696,0.05563215105194359,-0.01804239614266663
78,3.1000000000000014,0.03758975490927696,0.05563215105194359,-0.01804239614266663
79,3.1499999999999986,0.0721907913684845,0.05556164603269074,0.01662914533579376
80,3.1499999999999986,0.0721907913684845,0.05556164603269074,0.01662914533579376
81,3.200000000000003,0.06303727626800537,0.05549114101343787,0.0075461352545675014
82,3.200000000000003,0.06303727626800537,0.05549114101343787,0.0075461352545675014
83,3.25,0.05206439271569252,0.05542063599418502,-0.0033562432784925017
84,3.25,0.05206439271569252,0.05542063599418502,-0.0033562432784925017
85,3.3000000000000043,0.04982380568981171,0.05535013097493216,-0.005526325285120454
86,3.3000000000000043,0.04982380568981171,0.05535013097493216,-0.005526325285120454
87,3.3500000000000014,0.04414699226617813,0.055279625955679305,-0.011132633689501174
88,3.3500000000000014,0.04414699226617813,0.055279625955679305,-0.011132633689501174
89,3.3999999999999986,0.07174056023359299,0.05520912093642645,0.016531439297166536
90,3.3999999999999986,0.07174056023359299,0.05520912093642645,0.016531439297166536
91,3.450000000000003,0.06691285222768784,0.05513861591717359,0.011774236310514247
92,3.450000000000003,0.06691285222768784,0.05513861591717359,0.011774236310514247
93,3.5,0.03252994641661644,0.055068110897920734,-0.022538164481304294
94,3.5,0.03252994641661644,0.055068110897920734,-0.022538164481304294
95,3.5500000000000043,0.032388072460889816,0.054997605878667866,-0.02260953341777805
96,3.5500000000000043,0.032388072460889816,0.054997605878667866,-0.02260953341777805
97,3.6000000000000014,0.08472844213247299,0.05492710085941502,0.029801341273057974
98,3.6000000000000014,0.08472844213247299,0.05492710085941502,0.029801341273057974
99,3.6499999999999986,0.03943071886897087,0.05485659584016216,-0.015425876971191292
100,3.6499999999999986,0.03943071886897087,0.05485659584016216,-0.015425876971191292
101,3.700000000000003,0.04580662027001381,0.0547860908209093,-0.008979470550895492
102,3.700000000000003,0.04580662027001381,0.0547860908209093,-0.008979470550895492
103,3.75,0.07622135430574417,0.05471558580165645,0.021505768504087724
104,3.75,0.07622135430574417,0.05471558580165645,0.021505768504087724
105,3.8000000000000043,0.058051783591508865,0.054645080782403585,0.0034067028091052803
106,3.8000000000000043,0.058051783591508865,0.054645080782403585,0.0034067028091052803
107,3.8500000000000014,0.0609508641064167,0.05457457576315073,0.006376288343265972
108,3.8500000000000014,0.0609508641064167,0.05457457576315073,0.006376288343265972
109,3.8999999999999986,0.04086443781852722,0.054504070743897876,-0.013639632925370654
110,3.8999999999999986,0.04086443781852722,0.054504070743897876,-0.013639632925370654
111,3.950000000000003,0.053101796656847,0.054433565724645014,-0.0013317690677980137
112,3.950000000000003,0.053101796656847,0.054433565724645014,-0.0013317690677980137
113,4.0,0.06949381530284882,0.05436306070539216,0.015130754597456657
114,4.0,0.06949381530284882,0.05436306070539216,0.015130754597456657
115,4.050000000000004,0.05095183476805687,0.0542925556861393,-0.003340720918082428
116,4.050000000000004,0.05095183476805687,0.0542925556861393,-0.003340720918082428
117,4.100000000000001,0.051561955362558365,0.05422205066688644,-0.002660095304328078
118,4.100000000000001,0.051561955362558365,0.05422205066688644,-0.002660095304328078
119,4.149999999999999,0.05610736832022667,0.05415154564763359,0.0019558226725930813
