index,time_sec,sonar_range_m
0,0.0,0.025159860029816628
1,0.05000000000000426,0.05499057471752167
2,0.10000000000000142,0.0654577687382698
3,0.14999999999999858,0.04067710041999817
4,0.20000000000000284,0.0551922470331192
5,0.25,0.07691217213869095
6,0.30000000000000426,0.061343323439359665
7,0.3500000000000014,0.060586102306842804
8,0.3999999999999986,0.0376574881374836
9,0.45000000000000284,0.04584400728344917
10,0.5,0.04570428654551506
11,0.5500000000000043,0.07637134939432144
12,0.6000000000000014,0.08761627227067947
13,0.6499999999999986,0.06860138475894928
14,0.7000000000000028,0.09516914933919907
15,0.75,0.06903129070997238
16,0.8000000000000043,0.049847379326820374
17,0.8500000000000014,0.06019607186317444
18,0.8999999999999986,0.08843094110488892
19,0.9500000000000028,0.07788019627332687
20,1.0,0.03080582246184349
21,1.0500000000000043,0.026942096650600433
22,1.1000000000000014,0.053184300661087036
23,1.1499999999999986,0.06472822278738022
24,1.2000000000000028,0.05682705342769623
25,1.25,0.039525777101516724
26,1.3000000000000043,0.052456602454185486
27,1.3500000000000014,0.07688913494348526
28,1.3999999999999986,0.0639566108584404
29,1.4500000000000028,0.035623494535684586
30,1.5,0.09146193414926529
31,1.5500000000000043,0.05815281718969345
32,1.6000000000000014,0.08674950897693634
33,1.6499999999999986,0.08682507276535034
34,1.7000000000000028,0.057147763669490814
35,1.75,0.057481542229652405
36,1.8000000000000043,0.06347376853227615
37,1.8500000000000014,0.03488926962018013
38,1.8999999999999986,0.019046425819396973
39,1.9500000000000028,0.03603680431842804
40,2.0,0.016621043905615807
41,2.0500000000000043,0.06883353739976883
42,2.1000000000000014,0.08905106782913208
43,2.1499999999999986,0.07032719254493713
44,2.200000000000003,0.07588357478380203
45,2.25,0.07051355391740799
46,2.3000000000000043,0.03816007822751999
47,2.3500000000000014,0.06604170054197311
48,2.3999999999999986,0.06136051192879677
49,2.450000000000003,0.044052671641111374
50,2.5,0.08064652234315872
51,2.5500000000000043,0.029862409457564354
52,2.3500000000000014,0.06604170054197311
53,2.3999999999999986,0.06136051192879677
54,2.450000000000003,0.044052671641111374
55,2.5,0.08064652234315872
56,2.5500000000000043,0.029862409457564354
57,2.6000000000000014,0.04298311844468117
58,2.6000000000000014,0.04298311844468117
59,2.6499999999999986,0.07915078848600388
60,2.6499999999999986,0.07915078848600388
61,2.700000000000003,0.07661628723144531
62,2.700000000000003,0.07661628723144531
63,2.75,0.030895106494426727
64,2.75,0.030895106494426727
65,2.8000000000000043,0.04852645844221115
66,2.8000000000000043,0.04852645844221115
67,2.8500000000000014,0.05602887645363808
68,2.8500000000000014,0.05602887645363808
69,2.8999999999999986,0.06889753043651581
70,2.8999999999999986,0.06889753043651581
71,2.950000000000003,0.06895831972360611
72,2.950000000000003,0.06895831972360611
73,3.0,0.053415697067976
74,3.0,0.053415697067976
75,3.0500000000000043,0.024251889437437057
76,3.0500000000000043,0.024251889437437057
77,3.1000000000000014,0.03758975490927696
78,3.1000000000000014,0.03758975490927696
79,3.1499999999999986,0.0721907913684845
80,3.1499999999999986,0.0721907913684845
81,3.200000000000003,0.06303727626800537
82,3.200000000000003,0.06303727626800537
83,3.25,0.05206439271569252
84,3.25,0.05206439271569252
85,3.3000000000000043,0.04982380568981171
86,3.3000000000000043,0.04982380568981171
87,3.3500000000000014,0.04414699226617813
88,3.3500000000000014,0.04414699226617813
89,3.3999999999999986,0.07174056023359299
90,3.3999999999999986,0.07174056023359299
91,3.450000000000003,0.06691285222768784
92,3.450000000000003,0.06691285222768784
93,3.5,0.03252994641661644
94,3.5,0.03252994641661644
95,3.5500000000000043,0.032388072460889816
96,3.5500000000000043,0.032388072460889816
97,3.6000000000000014,0.08472844213247299
98,3.6000000000000014,0.08472844213247299
99,3.6499999999999986,0.03943071886897087
100,3.6499999999999986,0.03943071886897087
101,3.700000000000003,0.04580662027001381
102,3.700000000000003,0.04580662027001381
103,3.75,0.07622135430574417
104,3.75,0.07622135430574417
105,3.8000000000000043,0.058051783591508865
106,3.8000000000000043,0.058051783591508865
107,3.8500000000000014,0.0609508641064167
108,3.8500000000000014,0.0609508641064167
109,3.8999999999999986,0.04086443781852722
110,3.8999999999999986,0.04086443781852722
111,3.950000000000003,0.053101796656847
112,3.950000000000003,0.053101796656847
113,4.0,0.06949381530284882
114,4.0,0.06949381530284882
115,4.050000000000004,0.05095183476805687
116,4.050000000000004,0.05095183476805687
117,4.100000000000001,0.051561955362558365
118,4.100000000000001,0.051561955362558365
119,4.149999999999999,0.05610736832022667
